gene_id	transcript_id(s)	length	effective_length	expected_count	TPM	FPKM
ENSG00000001617.11	ENST00000002829.7,ENST00000413852.5,ENST00000414301.5,ENST00000420831.1,ENST00000426511.5,ENST00000434342.5,ENST00000450338.5,ENST00000470737.1,ENST00000493743.1	2803.73	2583.69	11007.00	11.16	30.63
ENSG00000001626.14	ENST00000003084.10,ENST00000426809.5,ENST00000429014.1,ENST00000446805.1,ENST00000468795.1,ENST00000472848.1,ENST00000546407.1,ENST00000600166.1,ENST00000608965.5,ENST00000610149.1,ENST00000621535.1	1375.36	1162.78	0.00	0.00	0.00
ENSG00000001629.9	ENST00000265742.7,ENST00000413588.1,ENST00000422095.1,ENST00000439883.1,ENST00000442183.1,ENST00000465883.1,ENST00000486698.1	5058.08	4838.04	9465.00	5.12	14.07
ENSG00000001630.15	ENST00000003100.12,ENST00000422867.1,ENST00000435873.1,ENST00000450723.5,ENST00000482924.1	3135.60	2915.56	20747.62	18.64	51.16
ENSG00000001631.14	ENST00000340022.6,ENST00000394503.6,ENST00000394505.6,ENST00000394507.5,ENST00000412043.6,ENST00000413688.5,ENST00000422347.5,ENST00000425073.1,ENST00000425919.5,ENST00000430102.5,ENST00000433016.5,ENST00000440209.5,ENST00000444960.5,ENST00000445516.1,ENST00000452773.5,ENST00000454017.5,ENST00000458177.5,ENST00000458493.5,ENST00000466166.1,ENST00000470309.5,ENST00000475770.5,ENST00000486261.5,ENST00000487168.1,ENST00000489087.1,ENST00000611677.4	1711.43	1491.40	3537.96	6.21	17.06
ENSG00000002016.16	ENST00000228345.9,ENST00000358495.7,ENST00000397230.6,ENST00000430095.6,ENST00000461568.5,ENST00000463750.5,ENST00000468231.5,ENST00000481052.5,ENST00000488642.6,ENST00000535376.5,ENST00000536177.5,ENST00000539046.5,ENST00000541619.1,ENST00000542297.1,ENST00000542584.5,ENST00000542785.5,ENST00000543912.5,ENST00000544742.5,ENST00000545564.5,ENST00000545967.1	2023.71	1803.69	753.68	1.09	3.00
ENSG00000002079.12	ENST00000413734.1,ENST00000425880.1,ENST00000429079.1,ENST00000439784.5,ENST00000452010.1,ENST00000453194.1,ENST00000453378.1	3186.72	2966.75	84.00	0.07	0.20
ENSG00000002330.13	ENST00000309032.7,ENST00000394531.3,ENST00000394532.7,ENST00000492141.1,ENST00000493798.1,ENST00000544271.1,ENST00000544785.1	819.72	599.69	2933.00	12.81	35.16
ENSG00000002549.12	ENST00000226299.8,ENST00000503467.1,ENST00000504614.5,ENST00000507960.1,ENST00000508014.5,ENST00000508497.5,ENST00000509583.1,ENST00000512397.1,ENST00000513105.1,ENST00000606142.5,ENST00000618908.4	1807.93	1587.89	18044.00	29.76	81.70
ENSG00000002586.18	ENST00000381177.6,ENST00000381180.8,ENST00000381184.6,ENST00000381187.8,ENST00000381192.8,ENST00000449611.6,ENST00000482293.6,ENST00000482405.7,ENST00000497752.6,ENST00000611428.5,ENST00000623253.4,ENST00000624481.4	1127.85	907.81	11473.00	33.10	90.87
ENSG00000002587.9	ENST00000002596.5,ENST00000510712.1,ENST00000514690.5	2833.09	2613.08	806.00	0.81	2.22
ENSG00000002726.19	ENST00000360937.8,ENST00000416793.6,ENST00000460213.1,ENST00000467291.5,ENST00000480582.1,ENST00000483043.1,ENST00000493429.5,ENST00000619575.1,ENST00000622116.4	2121.89	1901.85	0.00	0.00	0.00
ENSG00000002745.12	ENST00000222462.2,ENST00000361301.6	2188.50	1968.46	0.00	0.00	0.00
ENSG00000002746.14	ENST00000395891.6,ENST00000429529.1,ENST00000453890.5,ENST00000461842.1,ENST00000464944.1,ENST00000471043.1,ENST00000471527.1,ENST00000481031.5,ENST00000490954.2,ENST00000492310.5,ENST00000493057.1	2139.27	1919.27	0.00	0.00	0.00
ENSG00000002822.15	ENST00000265854.11,ENST00000399654.6,ENST00000402746.5,ENST00000406869.5,ENST00000421113.5,ENST00000429625.5,ENST00000429779.1,ENST00000437877.1,ENST00000438959.5,ENST00000444373.6,ENST00000445959.5,ENST00000450235.5,ENST00000455998.5,ENST00000459731.1,ENST00000464742.5,ENST00000468372.5,ENST00000469871.1,ENST00000477172.1,ENST00000481633.1,ENST00000483165.5,ENST00000486340.5,ENST00000491858.5,ENST00000496548.1	1489.19	1269.17	3902.00	8.05	22.11
ENSG00000002834.17	ENST00000318008.10,ENST00000419929.1,ENST00000433206.6,ENST00000435347.7,ENST00000443937.7,ENST00000579123.1,ENST00000581485.1,ENST00000584106.1,ENST00000585841.5	3709.39	3489.35	20415.00	15.32	42.07
ENSG00000002919.14	ENST00000359238.6,ENST00000393405.6,ENST00000452859.6,ENST00000577310.1,ENST00000578861.5,ENST00000580219.5,ENST00000580875.1,ENST00000581298.5,ENST00000581705.5,ENST00000582104.5,ENST00000582481.1,ENST00000583320.5,ENST00000584335.5	2060.49	1840.46	1614.00	2.30	6.31
ENSG00000002933.7	ENST00000004103.7,ENST00000461345.5,ENST00000462826.1,ENST00000468689.1,ENST00000474166.1,ENST00000475007.5,ENST00000475536.5,ENST00000475710.1,ENST00000481305.1,ENST00000484928.5,ENST00000494349.5	1024.00	803.97	0.00	0.00	0.00
ENSG00000003056.7	ENST00000000412.7,ENST00000536844.5,ENST00000537621.1,ENST00000539143.5,ENST00000540837.1,ENST00000541507.5,ENST00000543159.1,ENST00000543258.1,ENST00000543704.5,ENST00000543834.1,ENST00000543845.1,ENST00000544193.1,ENST00000544245.1	1293.13	1073.13	11733.00	28.64	78.61
ENSG00000003096.13	ENST00000262820.7,ENST00000371876.5,ENST00000371878.5,ENST00000371882.5,ENST00000447671.6,ENST00000453826.1,ENST00000469946.5,ENST00000539496.5,ENST00000540167.5,ENST00000541812.5,ENST00000545703.5	3222.35	3002.33	2475.91	2.16	5.93
ENSG00000003137.8	ENST00000001146.6,ENST00000412253.1,ENST00000461519.1,ENST00000474509.1,ENST00000546307.5	4168.08	3948.04	31.00	0.02	0.06
ENSG00000003147.17	ENST00000265577.11,ENST00000317367.9,ENST00000339809.10,ENST00000396675.7,ENST00000401396.5,ENST00000402384.7,ENST00000406470.6,ENST00000407906.5,ENST00000422063.6,ENST00000430867.5,ENST00000446305.1,ENST00000447326.5,ENST00000455539.5,ENST00000457755.5,ENST00000470696.1,ENST00000476942.1,ENST00000486677.1,ENST00000490041.1	1835.35	1615.32	2690.00	4.36	11.97
ENSG00000003249.13	ENST00000002501.10,ENST00000304733.7,ENST00000392973.7,ENST00000568330.2,ENST00000568662.1,ENST00000568838.1,ENST00000623401.1	2047.80	1827.76	1872.00	2.68	7.36
ENSG00000003393.14	ENST00000264276.10,ENST00000409632.6,ENST00000410052.1,ENST00000439495.5,ENST00000462747.1,ENST00000467448.5,ENST00000482789.5,ENST00000482891.5,ENST00000483703.1,ENST00000489440.5,ENST00000494017.5,ENST00000496244.5	5332.70	5112.66	10716.00	5.49	15.07
ENSG00000003400.14	ENST00000272879.9,ENST00000286186.10,ENST00000313728.11,ENST00000346817.9,ENST00000360132.7,ENST00000374650.7,ENST00000438843.5,ENST00000448480.1,ENST00000460140.5,ENST00000471191.1,ENST00000484926.1,ENST00000485408.1,ENST00000492363.5	4065.89	3845.85	5368.00	3.66	10.04
ENSG00000003402.19	ENST00000309955.7,ENST00000340870.6,ENST00000341222.10,ENST00000341582.10,ENST00000342795.9,ENST00000395148.6,ENST00000417748.1,ENST00000423241.6,ENST00000425030.1,ENST00000433445.1,ENST00000439154.6,ENST00000440180.5,ENST00000441224.5,ENST00000443227.5,ENST00000457277.5,ENST00000460961.1,ENST00000461422.1,ENST00000461820.5,ENST00000462763.5,ENST00000470178.6,ENST00000470664.1,ENST00000474842.1,ENST00000479953.6,ENST00000490965.1,ENST00000494258.5	2761.62	2541.58	33565.00	34.59	94.95
ENSG00000003436.14	ENST00000233156.7,ENST00000339091.8,ENST00000392365.5,ENST00000409676.5,ENST00000417013.5,ENST00000420747.1,ENST00000421427.5,ENST00000426055.5,ENST00000435414.5,ENST00000437725.5,ENST00000453013.5,ENST00000481132.5,ENST00000481389.1	2579.05	2359.02	41748.00	46.35	127.24
ENSG00000003509.15	ENST00000002125.8,ENST00000336237.10,ENST00000416653.5,ENST00000419278.2,ENST00000431821.5,ENST00000432075.1,ENST00000439218.5,ENST00000441905.1,ENST00000455230.5,ENST00000469831.1,ENST00000474154.5,ENST00000474257.5,ENST00000483999.5	2070.67	1850.63	1539.00	2.18	5.98
ENSG00000003756.16	ENST00000347869.7,ENST00000395174.6,ENST00000404526.6,ENST00000417905.1,ENST00000433556.6,ENST00000437500.5,ENST00000438369.5,ENST00000441305.5,ENST00000441812.6,ENST00000461242.1,ENST00000462025.1,ENST00000464087.6,ENST00000464988.1,ENST00000469838.5,ENST00000471995.5,ENST00000474470.1,ENST00000474818.5,ENST00000475128.5,ENST00000475590.5,ENST00000479275.1,ENST00000489437.1,ENST00000492430.1,ENST00000492472.1,ENST00000493993.1,ENST00000494360.5,ENST00000496179.5	2106.71	1886.68	12660.00	17.58	48.25
ENSG00000003987.13	ENST00000180173.9,ENST00000517317.5,ENST00000518272.5,ENST00000519122.5,ENST00000519590.5,ENST00000519763.1,ENST00000521177.1,ENST00000521857.5,ENST00000523571.1	3487.65	3267.61	61.00	0.05	0.13
ENSG00000003989.16	ENST00000004531.14,ENST00000398090.3,ENST00000470360.5,ENST00000494857.5,ENST00000522656.5	6713.93	6493.89	36948.00	14.90	40.91
ENSG00000004059.10	ENST00000000233.9,ENST00000415666.1,ENST00000459680.1,ENST00000463733.5,ENST00000467281.5,ENST00000489673.1	1096.63	876.59	10935.37	32.67	89.69
ENSG00000004139.13	ENST00000379061.8,ENST00000577870.2,ENST00000578128.5,ENST00000579593.1,ENST00000580711.1,ENST00000582323.1,ENST00000585453.5,ENST00000585482.5	6334.43	6114.39	823.94	0.35	0.97
ENSG00000004142.11	ENST00000540200.5,ENST00000618887.2	2119.93	1899.89	11762.00	16.22	44.51
ENSG00000004399.12	ENST00000324093.8,ENST00000501038.6,ENST00000503166.1,ENST00000504524.5,ENST00000504689.1,ENST00000504767.5,ENST00000504979.1,ENST00000505237.2,ENST00000505505.1,ENST00000505665.5,ENST00000506979.1,ENST00000508630.1,ENST00000511018.1,ENST00000512744.5,ENST00000512807.1,ENST00000514990.1,ENST00000515191.1	2314.78	2094.75	41115.00	51.41	141.12
ENSG00000004455.16	ENST00000354858.10,ENST00000373449.6,ENST00000466029.1,ENST00000467905.5,ENST00000469238.1,ENST00000480134.5,ENST00000482191.1,ENST00000487289.1,ENST00000491241.1,ENST00000548033.5,ENST00000548559.1,ENST00000550338.5,ENST00000551979.1,ENST00000626911.1,ENST00000629371.2	2309.00	2088.96	12420.48	15.57	42.75
